customer_id,age,annual_income,tenure_months,monthly_spend,orders_last_12_months,satisfaction_score,complaints_last_year,support_calls,discount_pct,region,customer_segment,payment_method,monthly_income,spending_ratio,orders_per_tenure_month
CUST10001,44,118745.04,16,100.58,11,8.3,2,4,7.3,Port Harcourt,Professional,Bank Transfer,9895.42,1.0164298230898738,0.7006369426751593
CUST10002,36,91458.17,2,40.52,9,5.3,1,3,2.6,Kano,Professional,Cash,7621.514166666667,0.5316528856853358,4.5
CUST10003,46,56833.72,13,77.04,7,7.4,1,2,1.3,Lagos,Professional,Bank Transfer,4736.143333333333,1.6266399595169911,0.5426356589147286
CUST10004,56,38533.11,4,92.81,7,6.4,1,4,14.7,Lagos,Business,Bank Transfer,3211.0925,2.8902935683104736,2.0
CUST10005,35,80749.84,50,87.41999999999999,10,5.1,0,3,6.4,Lagos,Family,Cash,6729.153333333333,1.2991233171483683,0.20202020202020202
CUST10006,35,68289.1,88,151.77500000000003,8,8.5,3,4,11.2,Abuja,Professional,Card,5690.758333333334,2.6670434959605562,0.0903954802259887
CUST10007,57,89989.18,2,93.93,8,8.3,2,2,21.5,Kano,Family,Card,7499.098333333332,1.2525505844147042,3.4782608695652177
CUST10008,47,77997.57,91,67.35,7,4.6,3,3,14.3,Kano,Business,USSD,6499.797500000001,1.0361861273370438,0.07713498622589532
CUST10009,32,97962.74,22,84.39,6,7.9,0,3,8.9,Port Harcourt,Student,Cash,8163.561666666667,1.0337399709318054,0.2702702702702703
CUST10010,45,40974.66,11,41.45,4,7.6,3,4,4.9,Lagos,Professional,Card,3414.5550000000003,1.2139209940973275,0.3738317757009346
CUST10011,32,113511.02,2,83.18,8,8.5,2,2,14.6,Lagos,Business,Bank Transfer,9459.251666666667,0.8793507449761265,3.3333333333333335
CUST10012,32,61314.29,21,65.84,9,7.3,2,4,11.2,Lagos,Business,Bank Transfer,5109.524166666667,1.2885740012646318,0.43269230769230765
CUST10013,41,57402.75,48,111.68,10,9.6,1,2,15.5,Lagos,Student,Bank Transfer,4783.5625,2.3346616669062024,0.21052631578947367
CUST10014,18,37648.0,37,74.21,13,6.8,2,3,0.0,Lagos,Student,USSD,3137.3333333333335,2.365384615384615,0.3532608695652174
CUST10015,18,139944.62624999997,2,87.41999999999999,11,6.5,3,4,18.8,Abuja,Professional,Card,11662.052187499998,0.7496107768553922,7.333333333333333
CUST10016,31,61324.79,2,69.29,8,5.2,1,4,1.7,Lagos,Student,Cash,5110.399166666667,1.3558627758855757,3.4782608695652177
CUST10017,26,38438.26,16,129.71,11,5.3,0,4,9.1,Kano,Family,Card,3203.1883333333335,4.0494028605873424,0.7096774193548387
CUST10018,42,42148.37,10,77.81,1,5.2,1,2,20.3,Kano,Student,Cash,3512.3641666666667,2.2153169861610307,0.09523809523809523
CUST10019,27,46115.18,8,131.45,14,7.4,4,0,0.0,Port Harcourt,Student,Cash,3842.931666666667,3.420565635870878,1.7721518987341771
CUST10020,21,69451.21,10,106.15,10,6.5,4,3,11.5,Lagos,Professional,Card,5787.600833333334,1.8340933152928507,1.0101010101010102
CUST10021,56,73324.35,49,100.96,9,7.6,3,2,10.4,Ibadan,Business,Bank Transfer,6110.3625,1.6522751309762718,0.18442622950819673
CUST10022,35,40116.92,79,100.57,10,4.8,2,3,11.8,Ibadan,Professional,Bank Transfer,3343.0766666666664,3.0083067194590214,0.12594458438287154
